Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2014,"12        ",Female,17,Right-Handed,163,7.5,68.58,3,Car,8,0.75,63,Running/Jogging,600,900,700,800,1000,1000,78.74,"Same length",101.6,101.6,"Ring finger",March,Winter,No,No,Seafood,Water,Science,8,9,4,"Yes - other","Cell phone",2,1,3,2,5,9,2,0,2,1,1,2,5,3,"A lot","Graduate degree",Country,Fly,Happy,"Doctor or nurse",Health
USA,CA,2012,"10        ",Female,15,Right-Handed,177,23,179,2,Car,7,0.411,48,Other,775,775,647,765,807,679,24,"Left foot",8,7,"Index finger",October,Fall,Yes,No,Pizza/Pasta,Water,Science,7.5,10,4,"Yes - broadband connection","In person",19,25,11,2,21,3,17,0,5,2,9,5,0,2,Some,"Graduate degree",Reggae,Telepathy,Happy,Relative,Health
USA,CA,2021,"9         ",Female,15,Right-Handed,"158 ",21,161,2,Walk,10,0.507,43,Walking/Hiking,100,,1000,100,10,1000,21,"Same length",85,75,"Index finger",October,Winter,No,No,Meat,Water,History,8,7,6,"Yes - broadband connection","Internet chat or instant messaging",10,0,8,2,2,8,5,4,10,10,10,10,2,10000,,"Some college",Other,Fly,Healthy,"Musician or singer","Wildlife, animals"
USA,CA,2021,"12        ",Male,17,Right-Handed,174,24.1,169,1,Car,25,0.22,45,"Football (American)",900,900,900,850,1000,1000,24.6,"Right foot",60.96,58.75,"Index finger",November,Winter,Yes,No,Meat,Water,History,6,10,4,"Yes - broadband connection","Text messaging",30,30,10,7,21,3,5,5,12,2,50,4,0,2,"A lot","Graduate degree",Pop,Telepathy,Happy,"Sports person","Wildlife, animals"
USA,CA,2017,"12        ",Female,17,Right-Handed,154,22,145,2,"Rail (Train/Tram/Subway)",30,2.36,50,Walking/Hiking,450,600,1000,950,100,850,21,"Right foot",70,70,"Same length",October,Winter,No,No,"No favorite",Water,English,8,5,3,"Yes - other","Text messaging",15,17,16,7,7,28,0,0,7,14,14,7,14,0,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,CA,2017,"12        ",Male,16,Right-Handed,183,32,185.4,2,Car,10,.369,40,Other,700,700,500,700,400,1000,33,"Left foot",90,80,"Ring finger",October,Summer,No,No,Poultry,Water,"Physical education",8,11,2,"Yes - broadband connection","Internet chat or instant messaging",4,5,0,0,1,5,6,8,10,1,4,0,0,2,"A lot","Graduate degree",Other,"Freeze time",Famous,"Sports person",Religious
USA,CA,2024,"12        ",Female,17,Right-Handed,175,27,172,2,Car,6,.353,35,Other,1000,600,1000,1000,143,250,26,"Right foot",75,80,"Ring finger",August,Summer,No,No,Desserts,Water,Science,7,9,4,"Yes - broadband connection","Text messaging",45,25,2,9,6,3,4,0,,,,,,,,,,,,,
USA,CA,2018,"12        ",Female,17,Right-Handed,149,33,152,1,Car,10,0.49,44,Other,332,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,"6         ",Female,11,Right-Handed,152.4,26,63,2,Car,15,0.944,46,"Football (American)",743,578,979,717,1000,21,25,"Right foot",90,80,"Index finger",May,Spring,Yes,No,Pizza/Pasta,Water,"Computers and technology",10,9,4,"Yes - broadband connection","Text messaging",4,5,8,1,130,3,1,1,0,1,130,2,0,1,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Education/Youth development"
USA,CA,2018,"12        ",Male,17,Right-Handed,182,27,176,2,Car,10,.365,38,Tennis,187,187,695,74,1000,1000,27,"Same length",73,81,"Ring finger",March,Winter,No,No,"Rice/Noodle dishes",Milk,"Mathematics and statistics",3,9,3,"Yes - broadband connection","Text messaging",300,300,10,,,,,,,,,,,,,,,,,,
USA,CA,2015,"11        ",Female,17,Right-Handed,,,,2,Walk,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,"12        ",Female,16,Right-Handed,154.9,23.5,146,2,Walk,15,0.871," 62 ",Other,545,561,749,583,679,706,23.5,"Same length",60,60,"Same length",August,Spring,No,No,"No favorite",Tea,Art,7,5,5,"Yes - other","Internet chat or instant messaging",2,3,2,1,3,2,1,0,3,1,4,2,0,2,Some,"Graduate degree","Punk rock",Telepathy,Happy,Relative,Other
USA,CA,2021,"12        ",Male,16,Right-Handed,160,25,150,2,Car,30,0.041,40,Other,679,460,43,797,1000,1000,25,"Same length",70,71,"Ring finger",October,Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,6,7,"Yes - other","Internet chat or instant messaging",20,20,30,0,1,20,0,31,1,1,10,0,16,2,"Very little","Graduate degree",Other,"Freeze time",Happy,Relative,Health
