Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Female,Ambidextrous,Gymnastics,920,December,Water,History,10,0,3,Graduate degree
CA,Male,Right-Handed,Basketball,1000,July,Water,Social studies,9,0,8,Graduate degree
CA,Female,Right-Handed,Swimming,5,March,Water,History,7,0,0,Graduate degree
CA,Female,Right-Handed,Running/Jogging,1000,January,Water,Art,12,0,0,Graduate degree
CA,Male,Right-Handed,Skateboarding/Rollerblading,1000,October,Water,Science,4,0,8,High school
CA,Male,Right-Handed,Soccer,900,July,Soft drink (caffeinated),History,10,0,0,Graduate degree
CA,Male,Left-Handed,Baseball/Softball,800,February,Water,Mathematics and statistics,9,0,2,Graduate degree
CA,Female,Right-Handed,Other,700,December,Water,Mathematics and statistics,6,0,0,Graduate degree
CA,Female,Right-Handed,Tennis,455,February,Water,Science,10,0,3,Undergraduate degree
CA,Male,Left-Handed,Football (American),1000,March,Water,Music,10,0,1,Undergraduate degree
CA,Female,Right-Handed,Swimming,1000,November,Water,Computers and technology,7,8,2,Graduate degree
CA,Female,Right-Handed,Other,807,November,Juice,Music,8,20,6,Other
CA,Female,Right-Handed,Soccer,750,September,Water,History,10,0,3,Graduate degree
CA,Male,Right-Handed,Other,626,December,Water,Science,9,0,35,Graduate degree
CA,Female,Right-Handed,Dancing,1000,November,Water,Mathematics and statistics,9,0,2,Graduate degree
CA,Male,Right-Handed,Skateboarding/Rollerblading,1000,April,Water,Mathematics and statistics,10,0,5,Graduate degree
CA,Male,Right-Handed,Basketball,600,December,Water,Computers and technology,9,0,1,Graduate degree
CA,Female,Left-Handed,Walking/Hiking,845,November,Water,Mathematics and statistics,8,0,1,Graduate degree
CA,Female,Right-Handed,Running/Jogging,576,March,Water,Art,7,0,2,High school
CA,Male,Right-Handed,Basketball,524,June,Milk,Science,11,0,2,Graduate degree
CA,Male,Ambidextrous,Dancing,500,December,Juice,Mathematics and statistics,10,0,12,Graduate degree
CA,Male,Left-Handed,Lacrosse,273,May,Water,Mathematics and statistics,9,0,2,Graduate degree
